地点,latitude,longitude,活动,门票价格,时间
玉龙西村 甘孜,101.683405,29.585801,莫溪沟尾营地（勒多漫因BC营地）-玉龙西垭口-玉龙西村(徒步约12KM，徒步约6-8H) 有住宿酒店民宿,,
玉龙西垭口,101.76035,29.80995,,,
月亮湖甘孜,101.331233,29.325717,环湖轻徒步｜湖畔下午茶｜湖畔野宴，搭起天幕，户外桌椅，特色食物，环湖2km轻徒步,,
泽桑拉空中花园甘孜,101.652357,29.809605,可以看到贡嘎，贡嘎雪山等候日落。上面有草甸。和雅哈垭口差不多角度，但是有森林和草。海拔高，较冷。,,
张公桥美食街,103.76892,29.570335,网红小吃街,,
镇江关,103.722219,32.328031,可以坐动车到九寨沟,,
中路藏寨,101.937996,30.889513,参观佛塔、经幡和古老的石塔，在当地家庭学习烹饪家常菜，享用中路独特的风味,,
竹林公园,104.07831,30.458511,看苍鹭和白鹭,,
子梅垭口,101.723028,29.515434,近距离观看贡嘎主峰的好地方，贡嘎最大的观景台。最早被发现的贡嘎经典机位，距离贡嘎主峰仅17.5KM，主峰到河谷6000+米的垂直落差，使这里非常容易形成壮观的云海，在户外圈久负盛名，眺望贡嘎七姊妹，一路光影极美。需要开车换乘前往，自愿,,
尊胜白塔,101.134502,30.970025,在稻城,,
